Name1, Name2, Name3, Name4, Pixels x, Pixels y, Aspect ratio, x * y
* VGA, Video Graphics Array, , , 640, 480, 4:3, 0.307
PAL, , , , 768, 576, 4:3, 0.442
SVGA, Super VGA, , , 800, 600, 4:3, 0.480
XGA, Extended Graphics Array, , , 1024, 768, 4:3, 0.786
* 1K, HDR, HD ready, HD720, 1280, 720, 16:9, 0.922
WXGA, Wide XGA, , , 1280, 800, 16:10, 1.024
WXGA, Wide XGA, , , 1366, 768, 16:9, 1.049
SXGA, Super XGA, , , 1280, 1024, 5:4, 1.311
WSXGA, Wide SXGA, , , 1600, 900, 16:9, 1.440
WSXGA+, Wide SXGA+, , , 1680, 1050, 16:10, 1.764
UXGA, Ultra XGA, , , 1600, 1200, 4:3, 1.920
* 2K, FHD, Full HD, HD1080, 1920, 1080, 16:9, 2.074
WUXGA, Wide UXGA, , , 1920, 1200, 16:10, 2.304
2K, Cinema 2K, , , 2048, 1152, 16:9, 2.359
2K, SUXGA, Super UXGA, , 2048, 1536, 4:3, 3.146
WQHD, Wide QHD, 1440p, , 2560, 1440, 16:9, 3.686
WQXGA, Wide QXGA, , , 2560, 1600, 16:10, 4.096
* 4K, UHD, Ultra HD, , 3840, 2160, 16:9, 8.294
4K, QWUXGA, Quad WUXGA, , 3840, 2400, 16:10, 9.216
4K, Cinama 4K, , , 4096, 2304, 16:9, 9.437
4K, HXGA, Hex XGA, , 4096, 3072, 4:3, 12.583
5K, UHD+, Ultra HD Plus, , 5120, 2880, 16:9, 14.746
* 6K, , , , 5760, 3240, 16:9, 18.662
HUXGA, Hex UXGA, , , 6400, 4800, 4:3, 30.720
* 8K, FUHD, Full UHD, , 7680, 4320, 16:9, 33.178
8K, WHUXGA, Wide HUXGA, , 7680, 4800, 16:10, 36.864
* 12K, , , , 11520, 6480, 16:9, 74.650
* 16K, QUHD, Quad UHD, , 15360, 8640, 16:9, 132.710
